element_id,global_id,element_type,name,organization_id,description,bdg_name,bdg_id
531,2hzaksm_vDFR56vznGJONR,IfcSlab,Floor:_Bjelkelag 298mm:345269,44,,William Tully,120
636,1xzRHg5wPCVvg4uLjqox1I,IfcWallStandardCase,Basic Wall:Generic - 200mm:345653,44,,William Tully,120
701,1xzRHg5wPCVvg4uLjqoxzb,IfcSlab,Floor:_Bjelkelag 298mm:346370,44,,William Tully,120
744,1Yzg4cwif7gQ2Hvbubk5cs,IfcWallStandardCase,Basic Wall:Generic - 225mm Masonry:347110,44,,William Tully,120
796,1Yzg4cwif7gQ2Hvbubk5cx,IfcWallStandardCase,Basic Wall:Generic - 225mm Masonry:347115,44,,William Tully,120
832,1Yzg4cwif7gQ2Hvbubk5cW,IfcWallStandardCase,Basic Wall:Generic - 225mm Masonry:347120,44,,William Tully,120
868,1Yzg4cwif7gQ2Hvbubk5ci,IfcWallStandardCase,Basic Wall:Generic - 225mm Masonry:347132,44,,William Tully,120
904,1Yzg4cwif7gQ2Hvbubk5xm,IfcWallStandardCase,Basic Wall:Generic - 225mm Masonry:347296,44,,William Tully,120
940,1Yzg4cwif7gQ2Hvbubk5xt,IfcWallStandardCase,Basic Wall:Generic - 225mm Masonry:347303,44,,William Tully,120
976,1Yzg4cwif7gQ2Hvbubk5xy,IfcWallStandardCase,Basic Wall:Generic - 225mm Masonry:347308,44,,William Tully,120
1041,3Q87Kkn4X0hh69O_upt9P1,IfcWallStandardCase,Basic Wall:_Bindeingsverk 316mm:348322,44,,William Tully,120
1151,3Q87Kkn4X0hh69O_upt9P0,IfcWallStandardCase,Basic Wall:_Bindeingsverk 316mm:348323,44,,William Tully,120
1233,3Q87Kkn4X0hh69O_upt9P7,IfcWallStandardCase,Basic Wall:_Bindeingsverk 316mm:348324,44,,William Tully,120
1288,3Q87Kkn4X0hh69O_upt9P6,IfcWallStandardCase,Basic Wall:_Bindeingsverk 316mm:348325,44,,William Tully,120
1475,3Q87Kkn4X0hh69O_upt9N3,IfcWindow,M_Fixed:_1400x2200mm:348960,44,,William Tully,120
1500,3Q87Kkn4X0hh69O_upt9xy,IfcWindow,M_Fixed:_1400x2200mm:350239,44,,William Tully,120
1523,3Q87Kkn4X0hh69O_upt9$i,IfcWindow,M_Fixed:_1400x2200mm:350479,44,,William Tully,120
1546,3Q87Kkn4X0hh69O_upt9$t,IfcWindow,M_Fixed:_1400x2200mm:350484,44,,William Tully,120
1569,3Q87Kkn4X0hh69O_upt9$w,IfcWindow,M_Fixed:_1400x2200mm:350489,44,,William Tully,120
1592,3Q87Kkn4X0hh69O_upt9$z,IfcWindow,M_Fixed:_1400x2200mm:350494,44,,William Tully,120
1615,3Q87Kkn4X0hh69O_upt9$0,IfcWindow,M_Fixed:_1400x2200mm:350499,44,,William Tully,120
1638,3Q87Kkn4X0hh69O_upt9$B,IfcWindow,M_Fixed:_1400x2200mm:350504,44,,William Tully,120
1661,3Q87Kkn4X0hh69O_upt9$E,IfcWindow,M_Fixed:_1400x2200mm:350509,44,,William Tully,120
